Unnamed: 0,City,SpotName,Reviewer,full_address,Latitude,Longitude
0,Abu Dhabi,Emirates Heritage Village,5,"Emirates Heritage Village, Abu Dhabi",24.4766604,54.3309894
1,Abu Dhabi,"Ferrari World Yas Island, Abu Dhabi",5,"Ferrari World Yas Island, Abu Dhabi, Abu Dhabi",24.4843883,54.607704
2,Abu Dhabi,Qasr Al Hosn,5,"Qasr Al Hosn, Abu Dhabi",24.482237,54.354723
3,Abu Dhabi,Qasr Al Watan,5,"Qasr Al Watan, Abu Dhabi",24.4619932,54.3057378
4,Abu Dhabi,"Warner Bros. World™ Yas Island, Abu Dhabi",5,"Warner Bros. World™ Yas Island, Abu Dhabi, Abu Dhabi",24.4909273,54.5992359
5,Alexandria,Alexandria Ancient Roman Theater,5,"Alexandria Ancient Roman Theater, Alexandria",31.19464560000000,29.9040251
6,Alexandria,Catacombs of Kom el Shoqafa,5,"Catacombs of Kom el Shoqafa, Alexandria",31.1787378,29.8930706
7,Alexandria,Montaza Palace,5,"Montaza Palace, Alexandria",31.2884642,30.0159916
8,Alexandria,"Royal Jewelry Museum, Alexandria",5,"Royal Jewelry Museum, Alexandria, Alexandria",31.2406096,29.9632848
9,Alexandria,Serapeum of Alexandria,5,"Serapeum of Alexandria, Alexandria",31.1823466,29.8962872
10,Amsterdam,Dungeon Amsterdam,5,"Dungeon Amsterdam, Amsterdam",52.3701599,4.8921108
11,Amsterdam,Heineken Experience,5,"Heineken Experience, Amsterdam",52.35783130000000,4.8918249
12,Amsterdam,Rijksmuseum,5,"Rijksmuseum, Amsterdam",52.3599976,4.8852188
13,Amsterdam,Ripley's Believe It or Not!,5,"Ripley's Believe It or Not!, Amsterdam",52.3724001,4.8935666
14,Amsterdam,Vondelpark,5,"Vondelpark, Amsterdam",52.3579946,4.8686484
15,Athens,Acropolis Museum,5,"Acropolis Museum, Athens",37.9684499,23.7285227
16,Athens,Acropolis of Athens,5,"Acropolis of Athens, Athens",37.9715323,23.7257492
17,Athens,Athens National Garden,5,"Athens National Garden, Athens",37.9725878,23.737433
18,Athens,National Archaeological Museum,5,"National Archaeological Museum, Athens",37.98902290000000,23.7327599
19,Athens,Parthenon,5,"Parthenon, Athens",37.9715285,23.7267166
20,Auckland,Auckland Domain,5,"Auckland Domain, Auckland",-36.858931,174.7754857
21,Auckland,Auckland Zoo,5,"Auckland Zoo, Auckland",-36.864113,174.719685
22,Auckland,Cornwall Park,5,"Cornwall Park, Auckland",-36.8974467,174.7843076
23,Auckland,SEA LIFE Kelly Tarlton's Aquarium,5,"SEA LIFE Kelly Tarlton's Aquarium, Auckland",-36.8469604,174.8174321
24,Auckland,Sky Tower,5,"Sky Tower, Auckland",-36.848448,174.762191
25,Bali,Pura Tirta Empul,5,"Pura Tirta Empul, Bali",-8.4156589,115.3153284
26,Bali,Sacred Monkey Forest Sanctuary,5,"Sacred Monkey Forest Sanctuary, Bali",-8.5193727,115.2606299
27,Bali,Sangeh Monkey Forest,5,"Sangeh Monkey Forest, Bali",-8.4817743,115.2067391
28,Bali,Tanah Lot,5,"Tanah Lot, Bali",-8.621213,115.086807
29,Bali,Tegallalang Rice Terrace,5,"Tegallalang Rice Terrace, Bali",-8.431711200000000,115.279303
30,Bangkok,Asiatique Sky,5,"Asiatique Sky, Bangkok",13.7052689,100.5031826
31,Bangkok,Bangkok World,5,"Bangkok World, Bangkok",13.8053114,100.6923497
32,Bangkok,Royal Hall of Piman Rattaya,5,"Royal Hall of Piman Rattaya, Bangkok",13.7497432,100.4905577
33,Bangkok,SEA LIFE Bangkok Ocean World,5,"SEA LIFE Bangkok Ocean World, Bangkok",13.7459351,100.5352057
34,Bangkok,The Grand Palace,5,"The Grand Palace, Bangkok",13.7498558,100.4915765
35,Barcelona,Casa Batllo,5,"Casa Batll?, Barcelona",41.3917,2.164918
36,Barcelona,Casa Vicens Gaudi,5,"Casa Vicens Gaud?, Barcelona",41.4034978,2.1506455
37,Barcelona,La Pedrera - Casa Milà,5,"La Pedrera - Casa Mil?, Barcelona",41.3952155,2.1619024
38,Barcelona,Park Guell,5,"Park G?ell, Barcelona",41.4144948,2.1526945
39,Barcelona,Port Vell,5,"Port Vell, Barcelona",41.3751582,2.1806792
40,Beijing,Forbidden City,5,"Forbidden City, Beijing",39.9168038,116.3971621
41,Beijing,Lama Temple,5,"Lama Temple, Beijing",39.94767120000000,116.4172902
42,Beijing,Summer Palace,5,"Summer Palace, Beijing",39.9999823,116.2754606
43,Beijing,Temple of Heaven,5,"Temple of Heaven, Beijing",39.8821803,116.4066056
44,Beijing,Yuanmingyuan Park,5,"Yuanmingyuan Park, Beijing",40.0080982,116.2982148
45,Berlin,Alexanderplatz,5,"Alexanderplatz, Berlin",52.52198140000000,13.413306
46,Berlin,Berlin Cathedral,5,"Berlin Cathedral, Berlin",52.5190608,13.401078
47,Berlin,Berlin TV Tower,5,"Berlin TV Tower, Berlin",52.520815,13.409419
48,Berlin,Brandenburg Gate,5,"Brandenburg Gate, Berlin",52.5162746,13.377704
49,Berlin,Memorial to the Murdered Jews of Europe,5,"Memorial to the Murdered Jews of Europe, Berlin",52.5139474,13.3787126
50,Bern,BearPark,5,"BearPark, Bern",46.9481216,7.459452100000000
51,Bern,Cathedral of Bern,5,"Cathedral of Bern, Bern",46.94723950000000,7.451531000000000
52,Bern,Waisenhausplatz,5,"Waisenhausplatz, Bern",46.9491682,7.4443111
53,Bern,Zentrum Paul Klee,5,"Zentrum Paul Klee, Bern",46.948891,7.474098
54,Bern,Zytglogge,5,"Zytglogge, Bern",46.9480298,7.4477977
55,Brisbane,Lone Pine Koala Sanctuary,5,"Lone Pine Koala Sanctuary, Brisbane",-27.5337818,152.968815
56,Brisbane,Mount Coot-Tha Summit Lookout,5,"Mount Coot-Tha Summit Lookout, Brisbane",-27.4850152,152.9591263
57,Brisbane,Museum of Brisbane,5,"Museum of Brisbane, Brisbane",-27.4686797,153.0238277
58,Brisbane,Roma Street Parkland,5,"Roma Street Parkland, Brisbane",-27.4630081,153.0189415
59,Brisbane,The Wheel of Brisbane,5,"The Wheel of Brisbane, Brisbane",-27.4751355,153.0208095
60,Bucharest,Arcul de Triumf,5,"Arcul de Triumf, Bucharest",44.467226,26.0781205
61,Bucharest,Cismigiu Gardens,5,"Cismigiu Gardens, Bucharest",44.4373441,26.0910803
62,Bucharest,Palace of Parliament,5,"Palace of Parliament, Bucharest",44.4275035,26.0873506
63,Bucharest,"The Church of the ""Stavropoleos"" Monastery",5,"The Church of the ""Stavropoleos"" Monastery, Bucharest",44.4317929,26.0988593
64,Bucharest,The Romanian Athenaeum,5,"The Romanian Athenaeum, Bucharest",44.44117900000000,26.097493
65,Budapest,Buda Castle,5,"Buda Castle, Budapest",47.5014928,19.0336045
66,Budapest,Fisherman's Bastion,5,"Fisherman's Bastion, Budapest",47.5021827,19.0347813
67,Budapest,Heroes' Square,5,"Heroes' Square, Budapest",47.5149429,19.0778626
68,Budapest,St. Stephen's Basilica,5,"St. Stephen's Basilica, Budapest",47.5008902,19.0539887
69,Budapest,Vajdahunyad Castle,5,"Vajdahunyad Castle, Budapest",47.5148896,19.0830593
70,Cairo,"""Winds of Change"" = your private English guide + personal driver in Cairo&Giza, Egypt",5,"""Winds of Change"" = your private English guide + personal driver in Cairo&Giza, Egypt, Cairo",30.0361355,31.2294293
71,Cairo,Al-Azhar Park,5,"Al-Azhar Park, Cairo",30.0414258,31.2655811
72,Cairo,Cairo Citadel,5,"Cairo Citadel, Cairo",30.0287457,31.2597144
73,Cairo,Cairo Tower,5,"Cairo Tower, Cairo",30.0459751,31.2242988
74,Cairo,Khan el-Khalili,5,"Khan el-Khalili, Cairo",30.0477386,31.2622538
75,Cancun,Dolphins Beach,5,"Dolphins Beach, Cancun",21.0608608,-86.77902910000000
76,Cancun,Interactive Aquarium Cancun,5,"Interactive Aquarium Canc?n, Cancun",21.1094311,-86.7643231
77,Cancun,Museo Maya de Canc?n y Zona Arqueol?gica de San Miguelito,5,"Museo Maya de Canc?n y Zona Arqueol?gica de San Miguelito, Cancun",21.161908,-86.8515279
78,Cancun,Cancun Tower,5,"Torre Esc?nica del Embarcadero de Canc?n, Cancun",21.161908,-86.8515279
79,Cancun,Zona Arqueologica de El Meco,5,"Zona Arqueol?gica de El Meco, Cancun",21.2108333,-86.8041667
80,Casablanca,La Tour de l'Horloge,5,"La Tour de l'Horloge, Casablanca",33.596889,-7.617253
81,Casablanca,Mohammed V Square,5,"Mohammed V Square, Casablanca",33.5911054,-7.618587700000000
82,Casablanca,Parc Sindibad,5,"Parc Sindibad, Casablanca",33.5805142,-7.689608300000000
83,Casablanca,Sacred Heart Cathedral,5,"Sacred Heart Cathedral, Casablanca",33.5911582,-7.624407800000000
84,Casablanca,United Nations Square,5,"United Nations Square, Casablanca",33.5948128,-7.618771500000000
85,Cebu,Casa Gorordo Museum,5,"Casa Gorordo Museum, Cebu",10.299913,123.9048616
86,Cebu,Fort San Pedro,5,"Fort San Pedro, Cebu",10.292457,123.905636
87,Cebu,Magellan's Cross,5,"Magellan's Cross, Cebu",10.2935626,123.9019549
88,Cebu,TOPS Cebu,5,"TOPS Cebu, Cebu",10.3706141,123.8708714
89,Cebu,Temple of Leah,5,"Temple of Leah, Cebu",10.3688727,123.8732522
90,Chiangmai,Chiang Mai Night Safari,5,"Chiang Mai Night Safari, Chiangmai",18.7423503,98.9173241
91,Chiangmai,Mae Kha Canal,5,"Mae Kha Canal, Chiangmai",18.7770657,98.9955681
92,Chiangmai,Wang Bua Ban Pha Waterfall,5,"Wang Bua Ban Pha Ngoep, Chiangmai",18.8122544,98.94164120000000
93,Chiangmai,Wat Lok Moli,5,"Wat Lok Moli, Chiangmai",18.7960243,98.9825675
94,Chiangmai,Watchediluang Varaviharn,5,"Watchediluang Varaviharn, Chiangmai",18.7869693,98.9865804
95,Christchurch,Canterbury Museum,5,"Canterbury Museum, Christchurch",-43.5299811,172.6320349
96,Christchurch,Christchurch Botanic Gardens,5,"Christchurch Botanic Gardens, Christchurch",-43.5306989,172.6232211
97,Christchurch,Christchurch Gondola,5,"Christchurch Gondola, Christchurch",-43.58494030000000,172.7075123
98,Christchurch,International Antarctic Centre,5,"International Antarctic Centre, Christchurch",-43.4884068,172.547093
99,Christchurch,Quake City,5,"Quake City, Christchurch",-43.5285832,172.6333082
100,Copenhagen,Amalienborg Palace,5,"Amalienborg Palace, Copenhagen",55.6840588,12.5930201
101,Copenhagen,Christiansborg Palace,5,"Christiansborg Palace, Copenhagen",55.6763218,12.5803274
102,Copenhagen,Ny Carlsberg Glyptotek,5,"Ny Carlsberg Glyptotek, Copenhagen",55.67298,12.572543
103,Copenhagen,The Little Mermaid,5,"The Little Mermaid, Copenhagen",55.69286,12.5992828
104,Copenhagen,Tivoli Gardens,5,"Tivoli Gardens, Copenhagen",55.6736841,12.5681471
105,Delhi,India Gate,5,"India Gate, Delhi",28.612912,77.2295097
106,Delhi,Jantar Mantar,5,"Jantar Mantar, Delhi",28.6270547,77.21662670000000
107,Delhi,Mehrauli Archeological Park Walk,5,"Mehrauli Archeological Park Walk, Delhi",28.5202041,77.187679
108,Delhi,Purana Quila,5,"Purana Quila, Delhi",28.6095744,77.24373710000000
109,Delhi,The Garden of Five Senses,5,"The Garden of Five Senses, Delhi",28.5133969,77.1974671
110,Dubai,Al Fahidi Historical Neighbourhood,5,"Al Fahidi Historical Neighbourhood, Dubai",25.2642363,55.30026430000000
111,Dubai,Burj Khalifa,5,"Burj Khalifa, Dubai",25.197197,55.27437640000000
112,Dubai,Burj Park,5,"Burj Park, Dubai",25.1943843,55.2735508
113,Dubai,Dubai Aquarium & Underwater Zoo,5,"Dubai Aquarium & Underwater Zoo, Dubai",25.1975134,55.2785005
114,Dubai,The Dubai Fountain,5,"The Dubai Fountain, Dubai",25.1951554,55.2751579
115,Florence,Giotto's Bell Tower,5,"Giotto's Bell Tower, Florence",43.7728578,11.2557822
116,Florence,Palazzo Vecchio,5,"Palazzo Vecchio, Florence",43.7693012,11.2561509
117,Florence,Piazza del Duomo,5,"Piazza del Duomo, Florence",43.7734385,11.2565501
118,Florence,Piazzale Michelangelo,5,"Piazzale Michelangelo, Florence",43.7624561,11.2649304
119,Florence,Ponte Vecchio,5,"Ponte Vecchio, Florence",43.7678821,11.2530605
120,Granada,Catedral de Granada,5,"Catedral de Granada, Granada",37.1761737,-3.599305300000000
121,Granada,Generalife,5,"Generalife, Granada",37.1769576,-3.584433
122,Granada,Granada Centre,5,"Granada Centre, Granada",37.1767291,-3.5959164
123,Granada,Mirador de San Nicolas,5,"Mirador de San Nicol?s, Granada",37.1811058,-3.5926637
124,Granada,Royal Chapel of Granada,5,"Royal Chapel of Granada, Granada",37.1763713,-3.598606300000000
125,Hanoi,Hanoi Old Quarter,5,"Hanoi Old Quarter, Hanoi",21.0352664,105.8500124
126,Hanoi,Hanoi Train Street,5,"Hanoi Train Street, Hanoi",21.0177521,105.8408822
127,Hanoi,Heritage House,5,"Heritage House, Hanoi",21.034419,105.8535283
128,Hanoi,Sao Viet Bus,5,"Sao Viet Bus, Hanoi",21.0086753,105.8615796
129,Hanoi,Xe 2 t?ng H? N?i - Hop on hop off bus Vietnam Sightseeing,5,"Xe 2 t?ng H? N?i - Hop on hop off bus Vietnam Sightseeing, Hanoi",21.0277644,105.8341598
130,Hawaii,Aloha Tower,5,"Aloha Tower, Hawaii",21.3071238,-157.8660266
131,Hawaii,Haleakala National Park,5,"Haleakal? National Park, Hawaii",20.7203826,-156.1551524
132,Hawaii,Hawaii Volcanoes National Park,5,"Hawai?i Volcanoes National Park, Hawaii",19.4963669,-155.4661859
133,Hawaii,Iolani Palace,5,"Iolani Palace, Hawaii",21.3067572,-157.8587697
134,Hawaii,Lapakahi State Historical Park,5,"Lapakahi State Historical Park, Hawaii",20.1746174,-155.8971655
135,Ho Chi Minh City,Ben Thanh Market,5,"Ben Thanh Market, Ho Chi Minh City",10.7725168,106.6980208
136,Ho Chi Minh City,Independence Palace,5,"Independence Palace, Ho Chi Minh City",10.7769942,106.6953021
137,Ho Chi Minh City,Notre Dame Cathedral of Saigon,5,"Notre Dame Cathedral of Saigon, Ho Chi Minh City",10.7797855,106.6990189
138,Ho Chi Minh City,Statue of Ho Chi Minh,5,"Statue of Ho Chi Minh, Ho Chi Minh City",10.7760193,106.7015489
139,Ho Chi Minh City,War Remnants Museum,5,"War Remnants Museum, Ho Chi Minh City",10.7795106,106.6920916
140,Hong Kong,Avenue of Stars HK,5,"Avenue of Stars HK, Hong Kong",22.2959455,114.1768095
141,Hong Kong,Hong Kong Observation Wheel,5,"Hong Kong Observation Wheel, Hong Kong",22.2853075,114.1615851
142,Hong Kong,Ocean Park,5,"Ocean Park, Hong Kong",22.2346359,114.1721746
143,Hong Kong,Tian Tan Buddha,5,"Tian Tan Buddha, Hong Kong",22.2539847,113.904984
144,Hong Kong,Victoria Harbour,5,"Victoria Harbour, Hong Kong",22.30744579369530,114.1677101505830
145,Istanbul,Basilica Cistern,5,"Basilica Cistern, Istanbul",41.00838400000000,28.977878
146,Istanbul,Gate of Salutation,5,"Gate of Salutation, Istanbul",41.011408,28.983227
147,Istanbul,Sultan Ahmet Square,5,"Sultanahmet Square, Istanbul",41.0063286,28.9757051
148,Istanbul,Topkapi Palace Museum,5,"Topkapi Palace Museum, Istanbul",41.0115195,28.98337890000000
149,Istanbul,Visit Istanbul,5,"Visit Istanbul, Istanbul",41.0170675,28.9693411
150,Jakarta,Jakarta Old Town,5,"Jakarta Old Town, Jakarta",-6.135502800000000,106.8119396
151,Jakarta,Monas,5,"Monas, Jakarta",-6.1753924,106.8271528
152,Jakarta,Suropati Park,5,"Suropati Park, Jakarta",-6.199387,106.8326333
153,Jakarta,Taman Impian Jaya Ancol,5,"Taman Impian Jaya Ancol, Jakarta",-6.125274700000000,106.8335569
154,Jakarta,Wisata Kota Tua Jakarta,5,"Wisata Kota Tua Jakarta, Jakarta",-6.1350687,106.8136795
155,Kaoshiung,Central Park,5,"Central Park, Kaoshiung",22.6247381,120.2994576
156,Kaoshiung,Dome of Light,5,"Dome of Light, Kaoshiung",22.6313189,120.3019731
157,Kaoshiung,Kaohsiung Lighthouse,5,"Kaohsiung Lighthouse, Kaoshiung",22.6155918,120.2650699
158,Kaoshiung,Liuhe Night Market,5,"Liuhe Night Market, Kaoshiung",22.6320758,120.2991547
159,Kaoshiung,Spring and Autumn Pavilions,5,"Spring and Autumn Pavilions, Kaoshiung",22.6822687,120.2927297
160,Kota Kinabalu,Free Heritage Walk,5,"Free Heritage Walk, Kota Kinabalu",5.985384500000000,116.0781898
161,Kota Kinabalu,Kota Kinabalu Wetland Ramsar Site,5,"Kota Kinabalu Wetland Ramsar Site, Kota Kinabalu",5.987957800000000,116.0892242
162,Kota Kinabalu,Mari Mari Cultural Village,5,"Mari Mari Cultural Village, Kota Kinabalu",5.9738777,116.203442
163,Kota Kinabalu,Marlin Statue,5,"Marlin Statue, Kota Kinabalu",5.9849383,116.0744884
164,Kota Kinabalu,Tanjung Aru Beach,5,"Tanjung Aru Beach, Kota Kinabalu",5.9474267,116.0468751
165,Kuala Lumpur,Aquaria KLCC,5,"Aquaria KLCC, Kuala Lumpur",3.1535483,101.713178
166,Kuala Lumpur,KL Bird Park,5,"KL Bird Park, Kuala Lumpur",3.1391529,101.6916602
167,Kuala Lumpur,KLCC Park,5,"KLCC Park, Kuala Lumpur",3.1555902,101.7147872
168,Kuala Lumpur,Menara Kuala Lumpur,5,"Menara Kuala Lumpur, Kuala Lumpur",3.1528762,101.7038516
169,Kuala Lumpur,Merdeka Square,5,"Merdeka Square, Kuala Lumpur",3.1490605,101.6936592
170,Lima,"Basilica and Convent of San Francisco, Lima",5,"Bas?lica and Convent of San Francisco, Lima, Lima",-12.0453403,-77.027025
171,Lima,Huaca Pucllana Site Museum,5,"Huaca Pucllana Site Museum, Lima",-12.1112266,-77.0333064
172,Lima,Larco Museum,5,"Larco Museum, Lima",-12.072569,-77.0710106
173,Lima,Lima Main Square,5,"Lima Main Square, Lima",-12.0461294,-77.0306524
174,Lima,Magic Water Circuit of the Reserve Park,5,"Magic Water Circuit of the Reserve Park, Lima",-12.07249,-77.0350113
175,Lisbon,Belem Tower,5,"Bel?m Tower, Lisbon",38.6915837,-9.215977300000000
176,Lisbon,Carmo Archaeological Museum,5,"Carmo Archaeological Museum, Lisbon",38.7120383,-9.140612900000000
177,Lisbon,Castelo de Sao Jorge,5,"Castelo de S?o Jorge, Lisbon",38.7139092,-9.1334762
178,Lisbon,Lisbon Cathedral,5,"Lisbon Cathedral, Lisbon",38.7098339,-9.1329535
